Essences,,,,,,,,
Number,,Gemstone,Essence,Body Focus,Soulcasting Properties,Divine Attributes,,Herald Image
1,Jes,Sapphire,Zephyr,Inhalation,"Translucent gas, air",Protecting,Leading,Jezrien
2,Nan,Smokestone,Vapor,Exhalation,"Opaque gas, smoke, fog",Just,Confident[nb 1],Nale
3,Chach,Ruby,Spark,The Soul,Fire,Brave,Obedient,Chanarach
4,Vev,Diamond,Lucentia,The Eyes,"Quartz, glass, crystal",Loving,Healing,Vedel
5,Palah,Emerald,Pulp,The Hair,"Wood, plants, moss",Learned,Giving[nb 1],Pailiah
6,Shash,Garnet,Blood,The Blood,"Blood, all non-oil liquid",Creative,Honest,Shalash
7,Betab,Zircon,Tallow,Oil,All kinds of oil,Wise,Careful,Battar
8,Kak,Amethyst,Foil,The Nails,Metal,Resolute,Builder,Kalak
9,Tanat,Topaz,Talus,The Bone,Rock and stone,Dependable,Resourceful,Talenel
10,Ishi,Heliodor,Sinew,Flesh,"Meat, flesh",Pious,Guiding,Ishar
